episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
154,4992.136312499992,5701.7525,42.316944444444445,1298.0,0.7346886967805332,"{""0"": 66, ""1"": 65}",2,0,50.4
155,4931.176749999991,5767.361666666667,42.896388888888886,1289.0,0.733219319386972,"{""0"": 67, ""1"": 66}",2,0,50.4
156,4993.325062500006,5879.7025,43.15472222222222,1309.0,0.7317528807481981,"{""0"": 71, ""1"": 71}",2,0,50.0
157,5091.818062500007,5878.969722222222,43.586666666666666,1327.0,0.7302893749867018,"{""0"": 61, ""1"": 61}",2,0,50.0
158,4910.246375000004,5851.274444444444,43.34916666666667,1290.0,0.7288287962367284,"{""0"": 71, ""1"": 70}",2,0,50.4
159,4812.020250000019,5941.748888888889,43.44111111111111,1274.0,0.727371138644255,"{""0"": 72, ""1"": 72}",2,0,50.0
160,4626.739750000007,5859.6177777777775,43.248333333333335,1232.0,0.7259163963669665,"{""0"": 67, ""1"": 66}",2,0,50.4
161,5124.981500000008,5881.668333333333,43.29138888888889,1335.0,0.7244645635742325,"{""0"": 75, ""1"": 74}",2,0,50.3
162,5099.0455625,5900.7725,43.749722222222225,1329.0,0.723015634447084,"{""0"": 69, ""1"": 68}",2,0,50.4
163,5101.823187500008,5957.0275,43.90083333333333,1333.0,0.7215696031781899,"{""0"": 70, ""1"": 69}",2,0,50.4
164,4761.261312499988,5800.3775,42.901666666666664,1257.0,0.7201264639718334,"{""0"": 69, ""1"": 68}",2,0,50.4
165,5096.083750000009,5748.227777777778,42.74,1320.0,0.7186862110438897,"{""0"": 71, ""1"": 71}",2,0,50.0
166,5201.977625000001,5791.338333333333,42.61222222222222,1346.0,0.717248838621802,"{""0"": 74, ""1"": 74}",2,0,50.0
167,5079.669062500002,5838.0986111111115,43.29555555555555,1324.0,0.7158143409445584,"{""0"": 74, ""1"": 74}",2,0,50.0
168,5152.958875000006,5835.805,43.085,1337.0,0.7143827122626694,"{""0"": 73, ""1"": 73}",2,0,50.0
169,5053.522812500018,5866.351388888889,43.56027777777778,1319.0,0.7129539468381441,"{""0"": 71, ""1"": 71}",2,0,50.0
170,5303.439374999994,5624.408333333334,41.96666666666667,1357.0,0.7115280389444678,"{""0"": 71, ""1"": 71}",2,0,50.0
171,5217.73674999998,5899.836666666667,43.56944444444444,1355.0,0.7101049828665789,"{""0"": 74, ""1"": 73}",2,0,50.3
172,5007.901374999992,5788.5633333333335,43.045833333333334,1305.0,0.7086847729008457,"{""0"": 67, ""1"": 66}",2,0,50.4
173,5161.291187500012,5917.4447222222225,43.66777777777778,1343.0,0.707267403355044,"{""0"": 71, ""1"": 71}",2,0,50.0
174,5122.666687500004,5757.1175,42.55305555555555,1328.0,0.705852868548334,"{""0"": 71, ""1"": 71}",2,0,50.0
175,5055.259000000004,5818.479444444444,42.90083333333333,1318.0,0.7044411628112373,"{""0"": 70, ""1"": 70}",2,0,50.0
176,5092.22224999999,5769.976111111111,42.77027777777778,1321.0,0.7030322804856147,"{""0"": 65, ""1"": 65}",2,0,50.0
177,5374.114187500001,5878.514722222222,43.68944444444445,1382.0,0.7016262159246435,"{""0"": 62, ""1"": 62}",2,0,50.0
178,5448.919125000008,5938.445555555556,43.98305555555555,1402.0,0.7002229634927942,"{""0"": 70, ""1"": 70}",2,0,50.0
179,5384.468437499991,5853.093055555555,43.31861111111111,1386.0,0.6988225175658086,"{""0"": 82, ""1"": 81}",2,0,50.3
180,5276.194437499999,5863.099722222222,43.45361111111111,1364.0,0.697424872530677,"{""0"": 70, ""1"": 70}",2,0,50.0
181,5173.811749999993,5890.006111111111,43.496944444444445,1345.0,0.6960300227856157,"{""0"": 77, ""1"": 76}",2,0,50.3
182,5395.201562500011,5613.0125,41.67861111111111,1373.0,0.6946379627400444,"{""0"": 79, ""1"": 78}",2,0,50.3
183,4983.186437500001,5870.835277777778,43.58638888888889,1306.0,0.6932486868145643,"{""0"": 70, ""1"": 70}",2,0,50.0
184,5211.7066250000125,5924.39,43.808055555555555,1355.0,0.6918621894409351,"{""0"": 72, ""1"": 72}",2,0,50.0
185,4991.174625000001,5818.951666666667,42.73833333333334,1304.0,0.6904784650620532,"{""0"": 81, ""1"": 81}",2,0,50.0
186,5033.6770625,5867.0075,43.498333333333335,1314.0,0.6890975081319292,"{""0"": 73, ""1"": 73}",2,0,50.0
187,4922.709125000012,5896.084444444445,43.61527777777778,1295.0,0.6877193131156653,"{""0"": 69, ""1"": 69}",2,0,50.0
188,5053.895374999991,5983.942777777777,43.93555555555555,1326.0,0.6863438744894339,"{""0"": 77, ""1"": 76}",2,0,50.3
189,5370.580749999994,5807.899444444444,43.37972222222222,1378.0,0.684971186740455,"{""0"": 67, ""1"": 67}",2,0,50.0
190,5183.4366874999905,5961.731388888889,44.18277777777778,1350.0,0.6836012443669741,"{""0"": 70, ""1"": 70}",2,0,50.0
191,5000.858937500013,5917.435277777778,43.63305555555556,1311.0,0.6822340418782402,"{""0"": 67, ""1"": 67}",2,0,50.0
192,5035.9398750000055,5828.845,43.28666666666667,1311.0,0.6808695737944838,"{""0"": 67, ""1"": 67}",2,0,50.0
193,5151.186687499983,5828.870277777778,43.193888888888885,1336.0,0.6795078346468948,"{""0"": 72, ""1"": 72}",2,0,50.0
194,5226.2166875,5917.136944444444,43.50944444444445,1358.0,0.678148818977601,"{""0"": 75, ""1"": 75}",2,0,50.0
195,5282.671625,5835.445555555556,43.456944444444446,1364.0,0.6767925213396458,"{""0"": 70, ""1"": 70}",2,0,50.0
196,5138.872062499989,5784.7908333333335,42.88333333333333,1333.0,0.6754389362969666,"{""0"": 70, ""1"": 69}",2,0,50.4
197,5139.197250000007,5832.795555555555,43.33555555555556,1334.0,0.6740880584243727,"{""0"": 68, ""1"": 67}",2,0,50.4
198,4924.544624999994,5899.518333333333,43.57555555555555,1297.0,0.6727398823075239,"{""0"": 80, ""1"": 80}",2,0,50.0
199,5180.267187500005,5829.129166666667,43.129444444444445,1343.0,0.6713944025429088,"{""0"": 69, ""1"": 69}",2,0,50.0
200,5275.096375,5868.393888888889,43.24,1364.0,0.670051613737823,"{""0"": 71, ""1"": 71}",2,0,50.0
201,5035.107437500001,5823.436388888889,42.880833333333335,1315.0,0.6687115105103473,"{""0"": 79, ""1"": 79}",2,0,50.0
202,5183.844312499982,5950.525277777778,43.81666666666667,1350.0,0.6673740874893266,"{""0"": 74, ""1"": 73}",2,0,50.3
203,5356.455625000001,5788.063888888889,42.702222222222225,1376.0,0.6660393393143479,"{""0"": 70, ""1"": 70}",2,0,50.0
204,5073.773749999999,5887.427777777778,43.48833333333334,1326.0,0.6647072606357192,"{""0"": 78, ""1"": 78}",2,0,50.0
205,5095.630625000004,5837.283333333334,43.530277777777776,1325.0,0.6633778461144477,"{""0"": 60, ""1"": 60}",2,0,50.0
206,4694.438749999987,5806.294444444445,43.20611111111111,1243.0,0.6620510904222189,"{""0"": 61, ""1"": 61}",2,0,50.0
207,4960.3811875000065,5717.589166666667,42.45777777777778,1293.0,0.6607269882413744,"{""0"": 69, ""1"": 69}",2,0,50.0
208,4983.492625000003,5921.549444444445,43.53722222222222,1309.0,0.6594055342648917,"{""0"": 72, ""1"": 72}",2,0,50.0
209,5176.071937499995,5902.141388888889,43.66222222222222,1345.0,0.6580867231963619,"{""0"": 70, ""1"": 69}",2,0,50.4
210,5306.306687500016,5863.703611111111,43.654444444444444,1370.0,0.6567705497499692,"{""0"": 71, ""1"": 71}",2,0,50.0
